Id,SalePrice
1461,124800.0
1462,150250.0
1463,197625.6
1464,186590.0
1465,195390.0
1466,177050.0
1467,168500.0
1468,177440.0
1469,174600.0
1470,136910.0
1471,226515.0
1472,97450.0
1473,103530.0
1474,149300.0
1475,113647.5
1476,329609.0
1477,265394.0
1478,294651.3
1479,274920.0
1480,471329.8
1481,307816.7
1482,201667.5
1483,189535.0
1484,173140.0
1485,172889.5
1486,207000.0
1487,283270.0
1488,241693.5
1489,217118.0
1490,253240.0
1491,192975.0
1492,103540.0
1493,163650.0
1494,311075.0
1495,303200.0
1496,252200.0
1497,190970.0
1498,156880.0
1499,154900.0
1500,160855.2
1501,174476.6
1502,157110.0
1503,290043.2
1504,227440.0
1505,221599.3
1506,188980.0
1507,240927.8
1508,180215.0
1509,165580.0
1510,158720.0
1511,166370.0
1512,179900.0
1513,138980.0
1514,156275.0
1515,196170.0
1516,146450.0
1517,142400.0
1518,142750.5
1519,258990.0
1520,141050.0
1521,146790.0
1522,161680.0
1523,121650.0
1524,118400.0
1525,139410.0
1526,125150.0
1527,125726.4
1528,124810.0
1529,164900.0
1530,165890.0
1531,127100.0
1532,110970.0
1533,178750.0
1534,116570.0
1535,132440.0
1536,121193.4
1537,100267.1
1538,142320.0
1539,163019.0
1540,108147.5
1541,162990.0
1542,138040.0
1543,142250.0
1544,93150.0
1545,107200.0
1546,134150.0
1547,127760.0
1548,121300.0
1549,136090.0
1550,145250.0
1551,133577.5
1552,140530.0
1553,122920.0
1554,117800.0
1555,162950.0
1556,108650.4
1557,152540.0
1558,101543.4
1559,117840.0
1560,150180.0
1561,167430.0
1562,120870.0
1563,127210.0
1564,169250.0
1565,166030.0
1566,258712.4
1567,105600.0
1568,217958.0
1569,137470.8
1570,115196.4
1571,120690.0
1572,140970.0
1573,258046.1
1574,165230.0
1575,264800.0
1576,272892.2
1577,200140.0
1578,126960.0
1579,147520.0
1580,187940.0
1581,158600.0
1582,130935.0
1583,344277.2
1584,233723.0
1585,142900.0
1586,88700.0
1587,99210.0
1588,146440.0
1589,117550.0
1590,136340.0
1591,106040.0
1592,136725.0
1593,129440.0
1594,99945.0
1595,115790.0
1596,222600.0
1597,170010.0
1598,172200.0
1599,196780.0
1600,194096.0
1601,89490.0
1602,112915.0
1603,97000.0
1604,275500.0
1605,255604.1
1606,171849.5
1607,173810.0
1608,242996.1
1609,196000.5
1610,157600.0
1611,139725.0
1612,186068.0
1613,180250.0
1614,127900.0
1615,89400.0
1616,89150.0
1617,91250.0
1618,126890.0
1619,132533.2
1620,198770.0
1621,165601.7
1622,129500.0
1623,280460.0
1624,252198.0
1625,124965.0
1626,169780.0
1627,206050.0
1628,256650.0
1629,155380.0
1630,299300.0
1631,185680.0
1632,215880.0
1633,170136.5
1634,209820.0
1635,179140.0
1636,159500.0
1637,209663.0
1638,178600.0
1639,179970.0
1640,185000.0
1641,161628.7
1642,222220.0
1643,231273.0
1644,227990.0
1645,191750.0
1646,161050.0
1647,170630.0
1648,155500.0
1649,140855.0
1650,133950.0
1651,122370.0
1652,96100.0
1653,93200.0
1654,148140.0
1655,140595.0
1656,148500.0
1657,148140.0
1658,186790.0
1659,124400.0
1660,187150.0
1661,420491.0
1662,312412.4
1663,373661.1
1664,471474.4
1665,322311.7
1666,350536.1
1667,290651.5
1668,327427.8
1669,287845.8
1670,344404.3
1671,282800.0
1672,448508.2
1673,283289.8
1674,265065.0
1675,204590.0
1676,204175.0
1677,219055.6
1678,495587.8
1679,396770.0
1680,290640.0
1681,249412.2
1682,310154.0
1683,195724.0
1684,174643.5
1685,181875.0
1686,173806.9
1687,170470.0
1688,208690.0
1689,206400.0
1690,184656.5
1691,180035.5
1692,235992.0
1693,173424.0
1694,186365.0
1695,154093.2
1696,300650.0
1697,165496.4
1698,305441.3
1699,363994.9
1700,256375.3
1701,264863.2
1702,256119.3
1703,263304.9
1704,309579.2
1705,212301.4
1706,456225.0
1707,222189.2
1708,227043.0
1709,253451.8
1710,222350.0
1711,268692.8
1712,245330.0
1713,304707.7
1714,223331.1
1715,208545.0
1716,189640.0
1717,175200.0
1718,133460.0
1719,199310.0
1720,284495.3
1721,174079.0
1722,132827.5
1723,153100.0
1724,244361.8
1725,214940.0
1726,200565.0
1727,188496.2
1728,182090.0
1729,163350.0
1730,145276.5
1731,138750.0
1732,140880.0
1733,120178.3
1734,136740.0
1735,145050.0
1736,122388.3
1737,370900.0
1738,223337.0
1739,240420.1
1740,245304.2
1741,230340.0
1742,174600.0
1743,175570.0
1744,265450.0
1745,222090.0
1746,179013.5
1747,184740.0
1748,187660.0
1749,168220.0
1750,138800.0
1751,186790.0
1752,124990.0
1753,156310.5
1754,203680.0
1755,170290.0
1756,134400.0
1757,123600.0
1758,186237.7
1759,158320.0
1760,165070.0
1761,160660.0
1762,167375.3
1763,164625.0
1764,124552.6
1765,264450.0
1766,177200.0
1767,188780.0
1768,160850.0
1769,161100.0
1770,156990.0
1771,134448.0
1772,148080.0
1773,139927.5
1774,155160.0
